,RDFC6,RDFM19,RDFU9,RDFU3,RDFU6,RDFU4,Harary3D,RDFC5,MoRSEM6,MoRSEM4,MoRSEM2,MoRSEE30,MoRSEM8,MoRSEU10,MoRSEU12,MoRSEU14,MoRSEU16,MoRSEU18,FPSA3,FPSA1,MoRSEV19,MoRSEV13,MoRSEV11,MoRSEV17,MoRSEV15,RDFM14,RDFE8,RDFM10,RDFM12,RDFE2,MoRSEC25,RDFE6,RDFE4,WNSA1,WNSA3,L2p,RDFP14,RDFP16,RDFP10,RDFP12,RDFP19,Dm,MoRSEM22,MoRSEM18,RDFP26,MoRSEM10,MoRSEM12,MoRSEM14,MoRSEM16,RDFC27,RDFC25,RDFC23,RDFC21,MoRSEM25,RDFC29,MoRSEU30,L1v,RDFP5,RDFP7,RDFP1,RDFP2,RDFP9,MoRSEP5,L1m,P1m,MoRSEP6,P1u,RDFE14,RDFE16,PPSA1,PPSA3,MoRSEP11,E2v,E2p,MoRSEP17,DPSA1,MoRSEN5,MoRSEN3,MoRSEN1,E2e,E2m,RDFM28,L3m,MoRSEP8,RDFC16,RDFV30,MoRSEN16,RDFC14,RDFC15,P3m,P3e,P3p,P3u,RDFC18,FNSA1,FNSA3,RDFC12,RDFC10,P2p,RDFM6,RDFU21,RDFU23,MoRSEN22,RDFU27,RDFU29,MoRSEC20,MoRSEN29,RDFV18,RDFV16,RDFV14,RDFV12,RDFE19,RDFM9,MoRSEN24,RDFV9,MoRSEE9,RDFU25,RDFV8,MoRSEE3,Ve,RDFE10,Vm,MoRSEV18,Vv,RDFU13,RDFC30,MoRSEP15,WPSA2,MoRSEU8,MoRSEU6,MoRSEU4,MoRSEC30,MoRSEU1,MoRSEP19,RDFM21,RDFM23,RDFM25,RDFM27,RDFV7,RDFV5,RDFV3,RDFM4,MoRSEP20,MoRSEP22,MoRSEP24,MoRSEP26,MoRSEC8,RDFM17,AGDD,MoRSEC2,MoRSEC4,MoRSEC6,MoRSEE29,WPSA1,MoRSEE21,MoRSEE23,MoRSEE25,MoRSEE27,MoRSEC27,RDFE12,Ae,MoRSEP7,MoRSEC22,MoRSEV28,MoRSEV26,MoRSEV24,MoRSEV22,MoRSEV20,P2e,MoRSEC10,MoRSEC16,MoRSEC14,P2m,MoRSEC19,P2u,RDFE23,RDFE25,RDFE27,RDFE29,RDFP20,RDFP22,MoRSEP1,RPCS,RDFP28,grav,MoRSEN20,RDFV26,RDFV24,RDFV22,RDFV20,L2e,RDFV28,MoRSEM27,RDFU16,MoRSEP2,MoRSEE5,MoRSEV3,E3v,Ke,RDFV6,MoRSEV7,Kp,Ku,MoRSEP4,E3m,RDFU19,MoRSEM20,MoRSEV4,MoRSEM24,MoRSEN14,MoRSEM28,MoRSEN18,MoRSEV9,MoRSEU29,L2u,MoRSEN12,MoRSEU21,MoRSEU23,MoRSEU25,MoRSEU27,RDFU17,Tv,SEig,Tp,Tm,PNSA3,PNSA1,MSA,Ap,MoRSEE10,MoRSEE12,MoRSEP9,MoRSEE16,MoRSEE18,Du,MoRSEN8,E1p,E1v,E1m,MoRSEP28,E1e,W3D,RDFC9,RDFU15,RDFC7,E3e,RDFC3,Au,MoRSEP29,RDFM30,MoRSEN6
C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)CC3,-7.413,1.3,13.182,5.99,13.664,19.371,136.173,1.763,1.55,-0.233,-8.407,0.323,1.6,-0.907,0.287,0.034,-0.548,0.749,0.111,0.544,-0.245,0.749,-0.661,0.217,-0.252,1.484,18.699,9.579,6.299,13.4,-0.311,15.458,25.519,110.811,-92.827,1.779,1.661,2.466,5.614,3.782,0.473,0.906,0.368,0.494,0.0,-0.329,-0.36,-0.345,-0.722,0.0,0.0,0.0,-0.055,0.898,0.0,0.369,9.68,2.775,4.873,1.405,10.22,5.539,0.832,9.526,0.797,1.484,0.749,4.959,6.374,268.013,54.869,-0.958,0.314,0.299,0.2,43.177,1.077,-1.379,8.444,0.447,0.234,0.0,0.833,0.5,-0.698,0.0,-0.179,0.057,-0.19,0.07,0.089,0.071,0.089,-0.038,0.456,-0.382,-0.594,-2.624,0.145,15.902,0.925,0.0,0.085,0.0,0.0,0.206,0.068,0.239,2.139,1.146,2.419,1.605,17.05,-0.047,4.657,1.157,0.0,4.623,1.455,76.107,14.463,49.152,0.393,56.287,8.667,0.0,-0.162,1390.448,0.475,2.065,-1.496,-0.087,26.205,-0.53,0.097,0.0,0.0,0.0,2.899,2.549,1.219,28.888,-0.117,-0.064,0.063,-0.171,0.3,0.838,148.436,-7.31,-3.797,1.498,0.404,132.09,-0.071,0.098,0.235,-0.13,0.176,5.964,36.526,-1.797,-0.141,-0.131,-0.078,0.08,0.024,-0.168,0.161,0.703,-0.139,-0.545,0.134,0.281,0.163,0.0,0.0,0.0,0.0,0.125,0.0,15.066,71.567,0.0,66.987,0.009,0.0,0.0,0.0,0.081,2.164,0.0,-0.279,5.167,-2.606,-1.842,-1.443,0.232,0.626,5.333,-1.328,0.676,0.623,-0.663,0.196,1.217,0.061,-0.469,-0.25,-0.089,0.056,0.135,0.588,0.423,2.201,-0.077,-0.049,0.071,0.191,-0.148,2.642,12.4,303.414,12.277,11.958,-188.347,224.836,287.544,27.101,-0.754,0.015,0.649,-0.554,0.606,1.419,0.384,0.49,0.497,0.476,-0.143,0.539,755.899,1.85,4.866,0.725,0.406,1.702,37.141,0.203,0.0,0.407
Nc1ncnc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C3)cnc12,-2.751,3.873,25.687,11.448,20.954,31.818,243.701,3.539,3.155,-0.334,-8.315,-0.299,0.676,-0.264,-0.175,0.879,0.067,0.313,0.126,0.527,0.168,0.328,-0.39,-0.366,-0.299,10.727,30.658,19.296,8.758,16.935,-0.134,23.66,41.901,200.095,-136.527,2.418,6.751,7.148,14.456,7.411,2.67,1.013,-0.3,-0.058,0.717,-1.904,-0.656,0.829,0.569,-0.236,-0.037,-0.595,0.303,0.354,0.024,-0.231,16.097,5.257,7.029,2.032,12.09,19.282,-0.691,17.17,0.837,2.754,0.79,22.309,12.938,342.858,81.881,-0.86,0.313,0.329,-0.244,35.244,0.36,-2.215,9.037,0.461,0.307,0.0,1.013,-0.284,1.131,0.0,0.133,0.099,0.269,0.049,0.068,0.057,0.069,-1.526,0.473,-0.323,-0.162,0.224,0.123,20.446,4.781,3.728,-0.08,1.465,0.322,-0.289,0.026,3.286,4.785,6.154,5.738,8.741,32.908,0.132,13.124,1.254,3.031,9.219,-0.801,159.464,34.79,121.258,0.219,120.526,19.547,0.0,-0.541,2748.436,-0.008,5.448,-3.596,0.589,29.704,0.039,4.389,0.674,1.316,0.17,5.614,4.54,2.375,36.916,0.06,-0.141,0.373,-0.395,-0.686,7.664,260.103,-7.494,-1.618,2.864,0.763,223.02,-0.042,0.555,0.083,0.053,0.155,23.362,73.597,-2.077,0.574,0.023,-0.342,0.261,-0.192,-0.041,0.138,0.786,-0.496,0.561,0.114,0.461,0.141,4.439,3.474,1.756,0.287,4.671,1.85,16.027,0.0,0.0,100.886,0.086,0.584,1.231,1.449,3.654,2.855,0.0,-0.073,12.228,-3.301,-4.526,-2.736,0.193,0.691,9.661,-1.811,0.731,0.686,-0.423,0.16,7.755,0.361,-1.169,0.525,0.207,0.584,-0.009,1.09,0.816,2.878,-0.145,-0.11,0.512,0.04,-0.004,6.451,19.57,538.051,19.704,20.526,-209.889,307.615,402.471,59.855,-0.154,-0.647,1.521,0.288,0.207,1.256,0.159,0.481,0.477,0.546,0.03,0.491,2479.638,5.161,17.707,-1.824,0.304,1.932,73.486,0.262,0.0,0.855
O=c1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C3)c(=O)N1,-2.976,4.87,27.076,7.229,26.828,36.289,222.773,0.532,3.969,-4.067,-2.4,-0.698,0.634,-0.26,-0.333,0.527,-0.013,0.061,0.117,0.456,0.132,0.496,-0.374,-0.215,-0.344,16.717,23.53,20.985,10.106,17.36,-0.306,30.112,46.622,208.69,-151.002,2.592,9.25,3.136,11.765,7.039,2.821,1.181,0.113,0.063,0.0,0.363,-0.994,0.782,0.432,0.0,0.0,0.126,0.091,-0.091,0.0,-0.475,10.873,3.451,9.873,1.783,12.409,10.295,-0.08,11.889,0.736,2.921,0.69,17.377,9.788,282.284,72.169,-0.824,0.396,0.384,-0.22,-54.707,1.045,-2.26,6.982,0.48,0.345,0.0,1.83,0.026,0.679,0.0,0.099,0.445,-2.872,0.113,0.128,0.122,0.13,0.531,0.544,-0.394,-0.451,-3.072,0.17,22.415,2.361,1.598,0.02,0.0,0.0,-0.151,0.141,1.461,2.533,6.333,4.742,7.416,22.878,0.153,9.336,0.537,0.001,5.656,0.335,151.297,29.42,124.683,0.209,120.687,17.947,0.0,-0.404,2187.648,0.968,4.726,-2.777,0.643,22.003,-0.086,1.496,1.668,0.0,0.0,7.787,3.011,1.497,36.053,-0.204,-0.031,0.285,-0.051,0.904,8.46,221.117,-7.417,-1.192,1.423,0.655,174.811,0.261,0.111,-0.293,0.208,-0.116,14.846,63.95,-1.925,0.606,-0.001,-0.098,0.188,-0.049,-0.328,0.175,0.187,0.162,-0.078,0.151,0.262,0.18,2.397,0.001,0.0,0.0,1.058,0.179,12.387,5.609,0.0,93.342,0.038,0.0,0.139,0.153,0.988,2.901,0.0,0.163,8.189,-1.018,-3.526,-2.711,0.318,0.544,11.688,-1.719,0.562,0.534,-1.109,0.296,6.312,0.208,-1.465,0.643,0.184,0.539,0.015,0.547,0.584,2.939,-0.238,0.324,0.128,-0.288,0.114,10.114,15.329,453.42,15.224,16.165,-243.837,336.991,395.84,52.693,-0.199,-0.811,0.698,0.087,-0.116,1.421,0.179,0.444,0.45,0.54,0.088,0.507,1970.846,2.452,10.822,-6.99,0.445,-0.117,63.052,0.316,0.0,1.034
Nc1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C3)c(=O)n1,1.315,2.842,35.887,10.178,33.426,35.764,258.794,-0.779,3.94,-4.023,-0.847,-0.231,0.465,-0.234,-0.067,0.175,-0.437,0.759,0.109,0.509,0.017,0.681,-0.559,-0.036,-0.515,11.926,37.249,18.634,11.18,18.9,-0.477,38.279,46.048,174.483,-149.875,3.715,6.469,2.405,10.909,7.561,1.002,1.18,-0.173,0.128,0.0,0.123,-0.824,1.092,0.14,0.0,0.0,0.0,0.279,-0.529,0.0,-0.067,8.592,3.878,13.157,2.012,13.535,14.646,0.443,9.622,0.667,2.359,0.624,20.487,11.236,303.1,65.049,-0.895,0.453,0.483,-0.108,10.296,1.269,-1.943,4.052,0.508,0.506,0.0,0.967,-0.179,-0.432,0.0,0.022,-0.254,0.413,0.067,0.112,0.1,0.119,-0.172,0.491,-0.422,0.681,2.522,0.27,23.284,0.624,0.0,-0.051,0.0,0.0,-0.103,0.086,0.607,2.333,5.431,6.094,6.08,29.531,0.304,12.899,1.179,0.0,9.976,0.5,133.339,33.937,100.013,0.478,104.343,25.169,0.0,-0.609,2236.147,0.334,4.657,-2.957,0.635,17.055,-0.113,0.877,0.0,0.0,0.0,9.942,3.291,1.983,36.438,-0.252,-0.086,0.522,-0.07,1.166,5.568,227.596,-8.419,0.801,1.514,0.77,180.618,0.074,-0.543,-0.446,0.133,0.19,24.018,58.159,-2.15,0.617,-0.16,-0.059,0.339,-0.028,-0.342,0.258,0.249,0.031,0.009,0.266,0.227,0.257,0.0,0.0,0.0,0.0,0.496,0.001,8.302,5.818,0.0,95.765,-0.056,0.0,0.0,0.001,0.514,3.838,0.0,0.066,9.124,-1.095,-3.58,-2.278,0.288,0.445,12.622,-1.908,0.444,0.436,-0.944,0.129,4.964,-0.182,-1.562,1.216,0.255,0.128,0.044,0.699,0.676,3.788,-0.204,0.072,-0.304,-0.313,-0.077,9.061,13.586,464.305,13.734,14.423,-251.509,292.804,400.525,49.097,-0.235,-0.641,0.668,-0.414,0.527,1.44,0.131,0.423,0.415,0.545,-0.057,0.494,1846.707,4.599,17.11,-6.079,0.428,-0.375,57.65,0.19,0.0,1.027
Nc1nc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C3)cnc2c(=O)[nH]1,0.916,3.094,27.174,8.573,25.483,37.28,261.401,0.097,4.739,-4.34,-3.845,-0.418,-0.235,0.166,-0.474,1.149,-0.115,0.532,0.12,0.494,0.097,0.389,-0.339,-0.44,-0.307,15.183,33.022,25.811,16.967,19.566,-0.487,27.657,48.968,199.645,-136.885,4.206,8.398,2.375,14.477,11.796,1.395,0.994,-0.146,0.582,0.0,1.698,-1.454,1.062,-0.19,-0.0,-0.0,-0.001,0.129,-0.234,0.0,-0.292,9.406,5.212,13.88,2.137,13.816,14.825,0.11,9.689,0.644,3.461,0.615,28.254,9.156,310.252,75.431,-0.788,0.354,0.374,-0.485,-7.602,1.093,-2.157,4.563,0.456,0.37,0.0,1.133,-0.638,-0.821,0.0,-0.043,-0.674,0.724,0.075,0.099,0.087,0.101,0.427,0.506,-0.347,1.458,1.532,0.282,16.722,3.13,0.004,-0.045,0.0,0.0,0.076,0.071,2.062,1.989,7.345,9.347,3.899,30.666,0.174,10.988,-0.092,0.0,11.896,0.352,161.257,41.27,117.914,0.446,121.405,23.644,0.0,-0.39,2485.764,0.392,6.66,-4.632,0.597,20.017,-0.146,1.862,0.0,0.0,0.0,11.172,4.767,1.916,40.6,-0.178,-0.253,0.265,-0.079,1.535,10.502,243.569,-8.191,0.964,1.615,0.506,194.871,0.205,0.282,-0.346,0.108,-0.015,34.105,70.129,-2.039,0.38,0.18,-0.089,0.151,-0.229,-0.256,0.285,-0.379,0.05,0.156,0.28,0.167,0.284,0.004,0.0,0.0,0.0,1.099,0.6,8.953,0.4,0.0,106.726,-0.061,0.0,0.0,0.499,0.618,4.642,0.0,-0.259,7.909,-1.456,-3.279,-3.081,0.298,0.424,11.001,-1.854,0.446,0.422,-1.183,0.217,3.181,-0.213,-1.715,0.754,0.267,0.756,0.153,0.548,0.445,4.622,-0.353,0.127,0.309,-0.254,0.039,9.293,14.799,498.454,14.901,15.038,-217.933,317.853,422.33,57.135,0.267,-0.981,0.683,-0.048,0.545,1.352,-0.044,0.378,0.38,0.407,0.262,0.429,2340.272,13.462,12.722,-11.022,0.451,-0.057,70.269,0.139,0.0,1.259
O=c1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OC)3)c(=O)N1,-1.07,4.28,21.107,10.497,37.296,38.753,259.421,-0.397,2.823,-3.256,-8.475,-0.484,0.307,-0.429,-1.069,0.625,-0.585,0.568,0.117,0.486,0.048,0.696,0.133,-0.314,-0.299,8.497,40.608,16.737,12.861,18.489,-0.208,42.16,48.9,211.335,-149.62,1.845,7.788,4.073,10.832,7.038,1.573,1.025,-0.058,0.187,1.093,0.285,-2.172,0.879,0.309,-0.453,-0.191,-0.252,0.862,0.282,0.052,-0.343,16.039,6.317,11.754,1.989,12.761,9.511,0.398,18.195,0.873,2.291,0.817,18.131,11.979,312.1,75.36,-0.127,0.297,0.302,-0.313,-17.326,1.071,-1.371,9.03,0.434,0.288,0.078,0.891,-0.012,-1.648,0.0,0.058,2.364,-1.178,0.043,0.065,0.056,0.068,0.619,0.514,-0.364,-1.114,-1.524,0.097,29.282,1.828,2.86,-0.012,1.143,0.201,0.192,-0.002,2.932,3.044,5.279,5.71,6.79,22.261,0.179,8.008,-0.368,2.44,8.713,3.888,128.603,28.813,99.015,0.316,99.965,21.534,0.0,-0.38,2500.683,-0.055,4.333,-4.24,0.274,24.693,-0.16,1.858,2.04,0.218,1.147,9.831,5.639,2.096,46.349,-0.114,-0.168,0.324,-0.25,0.752,9.482,259.231,-7.381,-1.613,1.518,0.242,200.22,0.136,-0.306,-0.169,0.003,-0.02,17.168,60.988,-2.048,0.2,0.046,-0.238,0.351,-0.112,-0.227,0.111,0.729,0.084,-0.451,0.084,-0.001,0.115,3.308,2.702,1.418,0.353,3.795,1.825,14.525,0.793,0.121,102.15,0.048,0.989,2.583,1.544,2.826,2.218,0.107,0.272,10.013,-2.248,-3.434,-1.698,0.24,0.737,14.942,-1.64,0.771,0.726,-1.428,0.155,5.191,0.222,-1.82,0.695,0.216,0.511,0.048,0.47,0.316,2.253,-0.526,0.175,-0.101,-0.203,-0.088,12.195,18.963,537.683,19.096,20.841,-233.225,329.425,405.99,49.19,-0.256,-1.663,0.464,-0.479,0.326,1.257,0.075,0.46,0.452,0.582,0.088,0.481,2479.005,-1.155,8.877,-0.439,0.339,-0.005,60.503,0.15,0.0,0.759
C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(OC)C3,-9.606,0.134,19.826,7.164,21.729,25.469,169.187,3.174,1.526,-2.972,-8.876,-0.2,0.477,-0.067,-0.42,-0.405,-0.776,0.771,0.102,0.575,-0.116,0.725,-0.544,0.101,-0.403,7.108,27.597,7.456,4.127,14.514,-0.125,24.112,33.898,115.586,-100.213,1.754,5.274,4.092,4.684,3.692,0.207,0.978,0.091,0.67,0.0,0.818,-1.117,-0.956,-0.277,0.0,-0.0,-0.0,-0.0,-0.241,0.0,-0.068,8.964,5.501,9.385,1.538,10.295,10.36,0.755,9.657,0.794,1.537,0.697,11.872,9.735,299.501,53.323,-0.838,0.323,0.317,0.184,77.753,1.331,-0.876,6.581,0.45,0.191,0.0,1.172,0.013,0.06,0.0,-0.08,0.219,-0.155,0.096,0.13,0.114,0.134,0.235,0.425,-0.369,-0.209,-0.44,0.145,23.873,0.0,0.0,0.024,0.0,0.0,-0.072,0.054,0.615,3.183,3.727,2.998,1.492,17.705,0.202,6.769,0.222,0.0,6.106,3.167,86.203,18.654,53.073,0.469,66.278,9.934,0.0,-0.59,1663.534,0.954,3.092,-3.357,0.406,17.64,-0.342,0.0,0.0,0.0,0.0,7.15,3.877,1.212,29.421,-0.245,0.013,0.312,-0.26,0.506,1.965,166.612,-8.067,-1.89,-1.33,0.589,156.115,-0.238,-0.367,-0.333,0.08,0.284,15.691,39.298,-1.312,0.482,-0.072,-0.181,0.279,0.064,-0.251,0.161,-0.226,0.099,0.337,0.11,0.366,0.169,0.0,0.0,0.0,0.0,0.139,0.0,10.273,19.425,0.0,73.647,-0.038,0.0,0.0,0.0,0.122,2.116,0.0,0.178,8.662,-2.756,-1.373,-1.153,0.321,0.563,9.314,-1.138,0.612,0.546,-1.42,0.202,1.194,-0.123,-1.155,0.798,-0.243,0.192,0.172,0.557,0.578,2.218,-0.266,-0.255,-0.244,-0.251,-0.082,3.893,12.173,339.47,12.129,12.165,-192.256,221.749,321.945,30.667,0.524,-0.801,0.865,-0.725,0.565,1.506,0.142,0.503,0.499,0.585,-0.046,0.537,939.065,4.276,6.758,-5.985,0.466,0.04,40.296,0.281,0.0,0.445
Nc1ncnc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(O)3)cnc12,0.39,3.573,20.562,12.721,27.973,33.27,258.317,2.136,4.015,-3.952,-11.563,-0.397,0.011,-0.007,-0.991,0.829,-0.232,0.236,0.12,0.529,0.051,0.415,-0.498,-0.307,-0.025,11.561,37.415,24.436,17.599,18.688,-0.102,31.651,41.691,190.036,-125.022,5.446,7.414,6.087,13.141,8.824,3.283,0.958,-0.737,0.451,0.0,-0.948,-1.781,0.607,-0.286,0.0,0.029,0.001,-0.167,0.288,0.0,-0.218,10.44,4.14,10.223,2.055,13.052,12.145,0.324,10.481,0.641,2.889,0.596,21.809,16.838,336.307,76.266,-0.793,0.39,0.409,-0.295,37.223,1.041,-1.463,12.014,0.512,0.357,0.0,0.692,-0.07,0.875,0.0,-0.071,-0.059,0.601,0.042,0.06,0.049,0.061,0.057,0.471,-0.31,-0.927,-0.113,0.327,19.978,2.308,0.061,-0.176,0.0,0.0,0.291,0.091,2.631,4.67,5.957,8.113,11.611,24.701,-0.011,8.655,2.133,0.591,10.021,1.146,169.986,32.402,118.871,0.236,131.752,21.945,0.0,0.019,2631.886,-0.578,5.626,-3.746,0.231,36.53,-0.183,0.266,0.005,0.004,0.0,7.908,4.13,2.771,46.303,0.142,-0.429,-0.052,-0.234,0.018,15.172,253.646,-8.189,-1.662,1.875,0.661,213.687,-0.441,0.185,-0.277,-0.077,0.153,31.208,82.813,-2.531,0.121,0.196,-0.171,0.074,-0.274,0.001,0.342,0.523,-0.253,-0.467,0.316,0.451,0.343,0.057,0.524,0.0,0.0,1.297,0.453,21.81,54.744,0.0,109.736,0.052,0.0,0.001,0.386,1.291,6.094,0.0,-0.411,14.811,-3.354,-3.344,-2.261,0.176,0.41,10.548,-1.965,0.436,0.408,-1.607,0.122,10.361,0.198,-1.864,-0.054,0.158,0.685,0.106,0.792,0.587,6.153,-0.439,-0.367,0.235,-0.226,-0.096,13.984,16.618,520.271,16.648,16.343,-196.764,299.085,401.258,69.47,-0.245,-1.496,0.672,-0.093,0.005,1.32,-0.009,0.463,0.465,0.479,0.246,0.487,2443.416,7.624,20.218,-5.322,0.297,0.74,84.119,0.238,0.0,1.048
Nc1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(O)3)c(=O)n1,-0.957,1.72,24.264,11.08,28.542,33.683,263.832,1.173,2.555,-6.193,-7.464,0.189,-0.361,-0.01,0.555,1.134,-0.304,0.347,0.124,0.507,-0.312,0.752,-0.683,0.006,-0.544,16.741,31.91,23.578,12.605,19.666,-0.531,33.451,42.728,193.665,-154.249,2.966,7.446,1.956,14.696,7.177,1.093,1.174,-0.121,0.281,0.0,0.51,-0.592,0.669,0.086,-0.0,-0.0,-0.191,0.348,0.306,0.0,0.244,11.121,5.925,10.672,2.122,13.892,7.581,0.884,12.072,0.722,2.023,0.687,19.662,10.397,317.659,77.621,-1.08,0.256,0.278,0.17,8.63,1.328,-1.875,8.42,0.353,0.364,0.0,1.337,-0.144,0.144,0.0,0.007,0.45,-2.061,0.08,0.114,0.098,0.118,1.02,0.493,-0.393,-0.683,-1.114,0.185,15.944,4.17,1.29,-0.025,0.0,0.0,0.048,0.01,3.789,1.769,5.936,5.216,5.211,17.687,0.119,6.729,1.206,0.0,10.025,-0.544,158.191,40.439,130.748,0.341,120.86,20.939,0.0,-0.606,2424.973,0.295,3.686,-5.358,0.329,25.866,-0.464,1.441,0.144,0.0,0.0,8.562,5.899,2.177,37.155,-0.153,0.044,0.362,0.056,0.408,4.625,244.947,-7.299,-0.512,0.86,0.417,199.073,0.077,-0.359,-0.166,-0.102,0.134,23.668,67.224,-1.866,0.283,-0.043,0.07,0.227,0.02,-0.23,0.199,0.133,-0.357,-0.276,0.198,0.392,0.195,1.613,0.0,0.0,0.0,2.197,0.139,14.845,4.578,0.0,99.131,0.011,0.0,0.0,0.156,1.425,3.341,0.0,-0.565,7.984,-3.516,-3.083,-2.289,0.311,0.531,8.886,-1.59,0.576,0.53,-2.84,0.208,4.587,0.072,-2.673,0.478,0.175,0.503,0.075,0.408,0.436,3.264,-0.126,0.056,-0.348,-0.155,-0.088,7.605,15.58,501.779,16.075,16.721,-246.134,309.029,405.897,57.022,0.027,0.045,0.396,-0.173,0.223,1.322,-0.09,0.54,0.501,0.602,-0.038,0.539,2084.193,2.719,18.346,-7.892,0.441,-0.382,66.414,0.188,0.0,0.671
O=c1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(O)3)c(=O)N1,1.29,8.649,17.377,10.055,29.464,35.564,232.705,-0.961,4.562,-2.841,-8.048,-0.155,-0.397,-0.167,-0.875,0.489,-0.137,0.077,0.117,0.435,0.066,0.493,-0.163,-0.233,-0.407,13.917,41.95,11.694,12.274,17.814,-0.094,31.904,45.955,220.036,-152.52,2.285,8.608,5.11,8.624,6.641,3.712,1.128,-0.433,0.275,0.001,0.315,-1.4,0.791,0.433,0.0,-0.193,0.44,-0.342,-0.017,0.0,-0.079,12.224,3.93,7.506,1.852,12.458,8.85,-0.417,13.756,0.777,2.961,0.723,17.627,16.68,271.486,73.091,-0.512,0.335,0.31,-0.178,-81.098,0.537,-1.556,9.241,0.399,0.343,0.0,1.784,-0.2,0.158,0.0,0.093,-1.404,0.311,0.101,0.121,0.116,0.121,-1.376,0.565,-0.392,0.01,-0.736,0.139,20.906,4.126,3.649,-0.114,0.0,0.0,0.235,0.085,2.961,4.148,6.008,5.509,8.091,18.901,0.018,7.283,1.417,0.876,11.124,1.442,154.717,30.781,128.524,0.273,126.965,17.358,0.0,-0.353,2119.982,-0.762,5.501,-3.357,0.405,26.04,-0.11,6.183,3.33,0.098,0.0,6.357,3.556,2.074,42.929,-0.121,-0.283,0.199,0.05,0.81,3.56,230.984,-7.806,-1.311,1.581,0.49,169.426,0.438,0.472,-0.649,0.285,0.088,20.723,66.209,-2.11,0.112,0.004,-0.007,0.153,-0.25,-0.279,0.149,0.713,0.195,-0.485,0.122,-0.008,0.157,5.02,1.095,0.0,0.0,1.914,1.229,16.068,0.299,0.0,99.447,-0.034,0.001,0.162,1.06,1.424,2.609,0.0,0.127,14.243,-3.099,-5.335,-1.884,0.401,0.596,11.673,-1.684,0.619,0.584,-0.894,0.207,6.15,-0.104,-1.453,0.043,0.185,0.318,0.058,0.725,0.497,2.705,-0.341,0.403,0.397,-0.574,0.123,5.68,16.468,475.764,16.48,17.693,-244.396,352.583,384.982,55.853,-0.226,-1.307,0.753,0.131,-0.132,1.394,-0.108,0.461,0.456,0.578,0.017,0.503,2185.189,-0.641,12.442,-2.625,0.524,0.527,65.38,0.283,0.0,1.191
