smiles,Chi0,Chi1,mChi1,Chi2,Chi3,Chi4,Chi5,Chi6,Chi7,Chi8,Chi9,Chi10,Chi3c,Chi4c,Chi4pc,Chi3ch,Chi4ch,Chi5ch,Chi6ch,knotp,Chiv0,Chiv1,Chiv2,Chiv3,Chiv4,Chiv5,Chiv6,Chiv7,Chiv8,Chiv9,Chiv10,dchi0,dchi1,dchi2,dchi3,dchi4,Chiv3c,Chiv4c,Chiv4pc,Chiv3ch,Chiv4ch,Chiv5ch,Chiv6ch,knotpv
C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)CC3,14.734,8.493,0.447,9.932,4.67,4.776,1.854,1.445,0.748,0.47,0.274,0.143,4.179,0.854,2.847,0.0,0.0,0.144,0.0,1.332,12.077,9.411,7.942,5.666,4.306,2.185,1.5,0.724,0.453,0.296,0.161,2.657,0.919,1.99,0.996,0.47,1.32,0.126,2.008,0.0,0.0,0.083,0.0,0.689
Nc1ncnc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C3)cnc12,22.32,13.763,0.43,15.227,9.709,9.338,5.702,4.738,3.18,2.365,1.617,1.058,5.188,0.854,5.671,0.0,0.0,0.192,0.068,0.483,17.286,12.332,10.322,7.522,5.617,3.19,2.219,1.168,0.785,0.516,0.33,5.034,1.431,4.905,2.187,3.72,1.723,0.126,2.903,0.0,0.0,0.084,0.014,1.181
O=c1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C3)c(=O)N1,21.328,12.674,0.437,14.31,8.346,7.987,4.464,3.759,2.101,1.495,1.054,0.614,5.204,0.854,5.119,0.0,0.0,0.096,0.068,0.085,16.183,11.628,9.756,6.986,5.191,2.916,2.019,1.008,0.675,0.45,0.284,5.145,1.046,4.553,1.36,2.796,1.657,0.126,2.677,0.0,0.0,0.056,0.019,1.02
Nc1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C3)c(=O)n1,21.328,12.674,0.437,14.31,8.346,7.987,4.464,3.759,2.101,1.495,1.054,0.614,5.204,0.854,5.119,0.0,0.0,0.096,0.068,0.085,16.3,11.66,9.781,6.986,5.182,2.91,2.021,1.003,0.674,0.449,0.282,5.028,1.014,4.528,1.36,2.805,1.668,0.126,2.682,0.0,0.0,0.056,0.017,1.014
Nc1nc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C3)cnc2c(=O)[nH]1,23.19,14.157,0.429,15.873,9.961,9.74,5.961,5.092,3.27,2.469,1.745,1.08,5.477,0.854,5.956,0.0,0.0,0.192,0.056,0.479,17.67,12.52,10.514,7.586,5.69,3.249,2.268,1.184,0.802,0.528,0.335,5.52,1.637,5.359,2.375,4.049,1.774,0.126,2.933,0.0,0.0,0.084,0.014,1.159
O=c1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OC)3)c(=O)N1,22.905,13.64,0.44,14.932,9.221,8.809,5.127,4.228,2.47,1.786,1.19,0.689,5.267,0.854,5.677,0.0,0.0,0.079,0.068,0.411,17.462,12.123,10.08,7.331,5.463,3.11,2.125,1.09,0.733,0.48,0.303,5.444,1.517,4.851,1.89,3.346,1.702,0.126,2.878,0.0,0.0,0.045,0.019,1.176
C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(OC)C3,16.312,9.441,0.45,10.641,5.499,5.489,2.321,1.848,1.009,0.552,0.383,0.216,4.308,0.854,3.406,0.0,0.0,0.118,0.0,0.902,13.356,9.889,8.279,6.072,4.555,2.319,1.639,0.799,0.488,0.334,0.195,2.956,0.447,2.362,0.573,0.935,1.394,0.126,2.28,0.0,0.0,0.068,0.0,0.886
Nc1ncnc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(O)3)cnc12,23.19,14.191,0.43,15.636,10.392,9.688,6.026,4.955,3.383,2.484,1.654,1.084,5.306,0.854,6.35,0.0,0.0,0.175,0.068,1.044,17.603,12.441,10.436,7.619,5.654,3.201,2.211,1.171,0.768,0.503,0.316,5.587,1.75,5.2,2.773,4.034,1.776,0.126,3.045,0.0,0.0,0.074,0.014,1.27
Nc1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(O)3)c(=O)n1,22.198,13.102,0.437,14.719,9.029,8.327,4.849,3.892,2.313,1.571,1.068,0.629,5.323,0.854,5.799,0.0,0.0,0.079,0.068,0.476,16.617,11.769,9.895,7.083,5.217,2.931,2.004,1.01,0.659,0.438,0.27,5.581,1.333,4.823,1.946,3.11,1.721,0.126,2.824,0.0,0.0,0.045,0.017,1.103
O=c1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(O)3)c(=O)N1,22.198,13.102,0.437,14.719,9.029,8.327,4.849,3.892,2.313,1.571,1.068,0.629,5.323,0.854,5.799,0.0,0.0,0.079,0.068,0.476,16.501,11.737,9.87,7.083,5.225,2.937,2.003,1.013,0.66,0.439,0.272,5.697,1.365,4.848,1.946,3.101,1.71,0.126,2.819,0.0,0.0,0.045,0.019,1.109
